MLC ID,Commitment,Reporting Lead,All ministers
2822,"Conduct an assessment of contract policing in consultation with provinces, territories, municipalities, Indigenous partners and stakeholders.",Minister of Public Safety,Minister of Public Safety
2823,"Accelerate work to establish a dedicated unit to investigate all forms of major financial crime, consider options to strengthen laws and investigative powers relating to financial crimes and bring forward a proposal for the establishment of the Canada Financial Crimes Agency to investigate highly complex financial crimes.",Minister of Public Safety,Minister of Public Safety; Minister of Justice and Attorney General of Canada; Deputy Prime Minister and Minister of Finance
2826,"Introduce legislation to safeguard Canada’s critical infrastructure, including 5G networks to preserve the integrity and security of telecommunications systems.",Minister of Public Safety,"Minister of Public Safety; Minister of National Defence; Minister of Innovation, Science and Industry; Minister of Natural Resources; Minister of Transport; Deputy Prime Minister and Minister of Finance; Minister of Foreign Affairs; Minister of Justice and Attorney General of Canada"
2827,Expand collaboration and information and intelligence sharing to address security risks in foreign research and investment partnerships.,Minister of Public Safety,"Minister of Public Safety; Minister of Innovation, Science and Industry; Minister of Foreign Affairs; Minister of National Defence; Minister of Health"
2828,Increase resources available to the RCMP and national security agencies to contribute to broader efforts to promote economic security and combat foreign interference.,Minister of Public Safety,"Minister of Public Safety; Minister of Innovation, Science and Industry"
2830,Advance the National Cyber Security Action Plan.,Minister of Public Safety,"Minister of Public Safety; Minister of Justice and Attorney General of Canada; Minister of National Defence; Minister of Innovation, Science and Industry; Minister of Foreign Affairs; Minister of Public Services and Procurement; Minister of Natural Resources; President of the Treasury Board"
2833,Develop and implement a renewed National Cyber Security Strategy.,Minister of Public Safety,"Minister of Public Safety; Minister of National Defence; Minister of Innovation, Science and Industry; Minister of Justice and Attorney General of Canada; Minister of Foreign Affairs"
2834,Counter the rise of ideologically-inspired violent extremism and strengthen the capacity of Canadian police and prosecutors to bring cybercriminals and terror suspects to justice.,Minister of Public Safety,Minister of Public Safety; Minister of Justice and Attorney General of Canada; Minister of Canadian Heritage and Quebec Lieutenant; Minister of Housing and Diversity and Inclusion; Minister for Women and Gender Equality and Youth
2838,Explore adjustments to the Security Infrastructure Program to enhance effectiveness and to be more responsive to community needs as part of a National Action Plan on Combatting Hate.,Minister of Public Safety,Minister of Public Safety; Minister of Housing and Diversity and Inclusion
2843,"Engage with provinces and territories to enact Clare’s Law so that individuals at risk of domestic violence can request information from the police, including from the RCMP, about their partner’s violent history.",Minister of Public Safety,Minister of Public Safety; Minister for Women and Gender Equality and Youth
2844,"Continue modernizing infrastructure and processes at Canada’s ports of entry, and ensuring the safety, security and integrity of Canada's borders, including measures to address irregular migration and combat the trafficking of firearms and illicit drugs.",Minister of Public Safety,"Minister of Public Safety; Minister of Immigration, Refugees and Citizenship; Minister of Transport; Minister of Justice and Attorney General of Canada"
2845,"Advance reforms to the pardons program to address systemic barriers, promote reintegration and ensure the system is fair and proportionate.",Minister of Public Safety,Minister of Public Safety
2847,"Develop a Federal Framework to Reduce Recidivism in consultation with provinces, territories, Indigenous communities, Black communities and other stakeholders.",Minister of Public Safety,Minister of Public Safety
2848,Ensure the Government of Canada continues to be prepared to proactively mitigate and respond to emerging incidents and hazards.,President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness,"President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of Public Safety; Minister of Fisheries, Oceans and the Canadian Coast Guard; Minister of Transport; Minister of Health; Minister of Natural Resources; Minister of National Defence; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario"
2850,Bolster the security of ministers and Parliamentarians.,Minister of Public Safety,"Minister of Public Safety; Minister of Intergovernmental Affairs, Infrastructure and Communities"
2901,"Continue to procure COVID-19 therapeutics, tests and vaccines to ensure all Canadians have access to free booster shots and second-generation vaccines as needed.",Minister of Public Services and Procurement,Minister of Public Services and Procurement; Minister of Health
2902,Modernize procurement practices.,Minister of Public Services and Procurement,"Minister of Public Services and Procurement; President of the Treasury Board; Deputy Prime Minister and Minister of Finance; Minister of International Trade, Export Promotion, Small Business and Economic Development; Minister of Public Safety; Minister of Labour"
2904,Increase the diversity of bidders on government contracts.,Minister of Public Services and Procurement,Minister of Public Services and Procurement; President of the Treasury Board
2905,Require federal departments and agencies to ensure a minimum of 5 per cent of the total value of federal contracts are held by Indigenous businesses.,Minister of Public Services and Procurement,Minister of Public Services and Procurement; President of the Treasury Board; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario
2906,Strengthen federal procurement practices to prioritize reusable and recyclable products.,Minister of Public Services and Procurement,"Minister of Public Services and Procurement; Minister of Environment and Climate Change; President of the Treasury Board; Minister of Innovation, Science and Industry; Minister of Natural Resources"
2909,"Advance the shipbuilding industry, including the process to add a third Canadian shipyard as a strategic partner to the National Shipbuilding Strategy.",Minister of Public Services and Procurement,"Minister of Public Services and Procurement; Minister of Fisheries, Oceans and the Canadian Coast Guard ; Minister of National Defence; Minister of Innovation, Science and Industry; Minister of Transport"
2910,"Improve crossings in the National Capital Region, including replacing the Alexandra Bridge, addressing the need for an additional National Capital Region crossing, and rehabilitating and maintaining existing crossings, including the Chaudière and Macdonald-Cartier bridges.",Minister of Public Services and Procurement,"Minister of Public Services and Procurement; Minister of Intergovernmental Affairs, Infrastructure and Communities"
2911,Resolve outstanding Phoenix Pay System issues for public servants once and for all.,Minister of Public Services and Procurement,Minister of Public Services and Procurement; President of the Treasury Board
2912,Advance work on the Next Generation Pay and Human Resources System.,Minister of Public Services and Procurement,Minister of Public Services and Procurement; President of the Treasury Board
2913,Ensure that Canada Post provides the high-quality service that Canadians expect at a reasonable price and better reaches Canadians in rural and remote areas.,Minister of Public Services and Procurement,Minister of Public Services and Procurement; Minister of Rural Economic Development
2915,Advance work to rehabilitate and reinvigorate places and buildings of national significance under the responsibility of the NCC.,Minister of Public Services and Procurement,Minister of Public Services and Procurement; Minister of Public Safety
2916,"Ensure the ongoing delivery of defence procurements in support of Canada’s Defence Policy, Strong, Secure, Engaged.",Minister of Public Services and Procurement,"Minister of Public Services and Procurement; Minister of National Defence; Minister of Innovation, Science and Industry"
2917,Advance work to rehabilitate and reinvigorate places and buildings of national significance under the responsibility of Public Services and Procurement Canada.,Minister of Public Services and Procurement,Minister of Public Services and Procurement; Minister of Crown-Indigenous Relations; Minister of Environment and Climate Change; Minister of Canadian Heritage and Quebec Lieutenant; Minister of Public Safety
3001,"Accelerate the delivery of broadband service across Canada to ensure that all Canadians, no matter where they live, have access to high-speed internet.",Minister of Rural Economic Development,"Minister of Innovation, Science and Industry; Minister of Intergovernmental Affairs, Infrastructure and Communities; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario"
3002,"Implement the Rural Economic Development Strategy to build on existing investments, improve community-level rural data reporting and identify improvements that could be made to programs, policies and future investments to benefit rural communities.",Minister of Rural Economic Development,"Minister of Rural Economic Development; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister responsible for the Federal Economic Development Agency for Southern Ontario; Minister of Official Languages and Minister responsible for the Atlantic Canada Opportunities Agency; Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada; Minister of Sport and Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec; Minister of Northern Affairs, Minister responsible for Prairies Economic Development Canada, and Minister responsible for the Canadian Northern Economic Development Agency"
3101,Increase the Guaranteed Income Supplement by $500 for single seniors and $750 for couples starting at age 65.,Minister of Seniors,Minister of Seniors
3102,Ensure seniors’ eligibility for the Guaranteed Income Supplement is not negatively impacted by receipt of the Canada Emergency Response Benefit (CERB) and the Canada Recovery Benefit (CRB).,Minister of Seniors,Minister of Seniors
3103,Establish an expert panel to provide recommendations for establishing an Aging at Home Benefit.,Minister of Seniors,Minister of Seniors; Minister of Health; Deputy Prime Minister and Minister of Finance
3104,Assist organizations to provide practical supports to help seniors age in place.,Minister of Seniors,Minister of Seniors
3107,"Represent the Government of Canada at the Federal, Provincial and Territorial Ministers Responsible for Seniors Forum.",Minister of Seniors,Minister of Seniors
3108,"Advance seniors programming, including the New Horizons for Seniors Program.",Minister of Seniors,Minister of Seniors
3201,"Support the sport community in safe and welcoming return-to-play strategies in light of COVID-19 adaptation requirements, including community sport and Team Canada preparations for international sporting events.",Minister of Sport and Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec,Minister of Sport and Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec; Minister of Canadian Heritage and Quebec Lieutenant
3202,Ensure a holistic and balanced strategic approach to sport development in Canada that supports the purpose and goals of the Canadian Sport Policy.,Minister of Sport and Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec,Minister of Sport and Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec
3203,Ensure the effective launch and implementation of the new Independent Safe Sport Mechanism.,Minister of Sport and Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec,Minister of Sport and Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec
3204,Advance the Canadian High Performance Sport Strategy and Action Plan to help Canadian athletes succeed at the highest levels of competition.,Minister of Sport and Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec,Minister of Sport and Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec
3205,Find solutions to reduce the environmental footprint of the sport sector and better involve Canadian athletes in the conversation on the fight against climate change.,Minister of Sport and Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec,Minister of Sport and Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec; Minister of Environment and Climate Change
3206,"Develop additional programming to increase Canadians’ participation in sport, with a particular focus on Indigenous Peoples.",Minister of Sport and Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec,Minister of Sport and Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec
3207,"Promote short- and long-term job creation and economic development in the regions of Quebec, through a place-based approach and support accessible to all regions, in particular rural and small communities.",Minister of Sport and Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec,Minister of Sport and Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec
3301,"Advance recovery measures to support the hard-hit tourism industry, such as the Tourism Relief Fund, to help local tourism businesses recover from the pandemic and position themselves for future growth.",Minister of Tourism and Associate Minister of Finance,"Minister of Tourism and Associate Minister of Finance; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister responsible for the Federal Economic Development Agency for Southern Ontario; Minister of Official Languages and Minister responsible for the Atlantic Canada Opportunities Agency; Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada; Minister of Sport and Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec; Minister of Northern Affairs, Minister responsible for Prairies Economic Development Canada, and Minister responsible for the Canadian Northern Economic Development Agency"
3302,"Examine ways to finance projects and support communities, both rural and urban, across Canada as they develop destinations and create and enhance tourism products, facilities and experiences.",Minister of Tourism and Associate Minister of Finance,Minister of Tourism and Associate Minister of Finance
3303,Develop a national trails tourism strategy that leverages the creation of new urban parks to enhance local opportunities for economic development and youth employment.,Minister of Tourism and Associate Minister of Finance,"Minister of Tourism and Associate Minister of Finance; Minister of Environment and Climate Change; Minister for Women and Gender Equality and Youth; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister responsible for the Federal Economic Development Agency for Southern Ontario; Minister of Official Languages and Minister responsible for the Atlantic Canada Opportunities Agency; Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada; Minister of Sport and Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec; Minister of Northern Affairs, Minister responsible for Prairies Economic Development Canada, and Minister responsible for the Canadian Northern Economic Development Agency"
3306,Launch a made-in-Canada model of open banking by early 2023.,Minister of Tourism and Associate Minister of Finance,"Minister of Tourism and Associate Minister of Finance; Minister of Innovation, Science and Industry"
3307,Modernize Canada’s payments technology to deliver faster and lower cost options to securely and conveniently transfer funds.,Minister of Tourism and Associate Minister of Finance,Minister of Tourism and Associate Minister of Finance; Deputy Prime Minister and Minister of Finance; Minister of National Defence; Minister of Public Safety
3401,"Require that travellers on interprovincial trains, commercial flights, cruise ships and other federally-regulated vessels be vaccinated.",Minister of Transport,Minister of Transport; Minister of Public Safety; Minister of Health; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario
3402,Ensure that COVID-19 vaccination is prioritized for workers in federally regulated transportation sector.,Minister of Transport,Minister of Transport; President of the Treasury Board; Minister of Labour
3404,Launch a procurement process and move forward with the High Frequency Rail project in the Toronto to Quebec City corridor using electrified technology.,Minister of Transport,"Minister of Transport; Minister of Intergovernmental Affairs, Infrastructure and Communities; Minister of Public Services and Procurement; Minister of Environment and Climate Change"
3405,Advance the restart of a competitive and viable air sector.,Minister of Transport,Minister of Transport
3406,Strengthen air passenger rights.,Minister of Transport,Minister of Transport
3407,"Accelerate the adoption of advanced technologies, including right touch travel, to rebuild public confidence and future prospects of the air sector.",Minister of Transport,"Minister of Transport; Minister of Public Safety; Minister of Immigration, Refugees and Citizenship; President of the Treasury Board"
3409,"Improve the affordability and accelerate the adoption of zero-emission vehicles, including used vehicles, by Canadian households and businesses.",Minister of Transport,"Minister of Transport; Minister of Environment and Climate Change; Minister of Innovation, Science and Industry; Minister of Natural Resources"
3410,Develop a strategy to decarbonize emission-intensive on-road freight.,Minister of Transport,"Minister of Transport; Minister of Environment and Climate Change; Minister of Natural Resources; Minister of Innovation, Science and Industry"
3411,Support global efforts to reduce emissions in the air and marine sectors.,Minister of Transport,"Minister of Transport; Minister of Environment and Climate Change; Minister of Fisheries, Oceans and the Canadian Coast Guard"
3412,Advance Canada's ongoing response to the tragic downing of flight PS752.,Minister of Foreign Affairs,Minister of Foreign Affairs; Minister of Transport
3413,Advance the Safer Skies Initiative.,Minister of Transport,Minister of Transport; Minister of Foreign Affairs
3414,Pursue reforms to the International Civil Aviation Organization’s accident investigation regime.,Minister of Transport,Minister of Transport; Minister of Foreign Affairs
3415,"In partnership with Indigenous Peoples, implement commitments made under the Oceans Protection Plan and launch the next phase to deliver marine safety systems, increase protection for marine species and ecosystems, and create stronger partnerships while strengthening marine research and science.",Minister of Transport,"Minister of Transport; Minister of Fisheries, Oceans and the Canadian Coast Guard; Minister of Environment and Climate Change; Minister of Natural Resources; Minister of Health; Minister of Foreign Affairs"
3417,"Advance measures that further improve the safety and security of Canada’s rail system, particularly in light of the impacts of climate change and severe weather on railway operations.",Minister of Transport,Minister of Transport
3418,"Work with provinces, territories, and willing municipalities on solutions to allow them a greater role in managing and regulating boating on their lakes and rivers.",Minister of Transport,Minister of Transport
3419,Complete the Ports Modernization Review.,Minister of Transport,Minister of Transport
3420,Work toward the rapid completion of the Lac-Mégantic bypass.,Minister of Transport,Minister of Transport; Minister of Public Services and Procurement
3421,Complete negotiations to repatriate and rehabilitate the Quebec Bridge.,Minister of Transport,"Minister of Transport; Minister of Intergovernmental Affairs, Infrastructure and Communities"
3422,Reduce and prevent supply chain bottlenecks in Canada’s transportation networks through the National Trade Corridors Fund and legislative and regulatory authorities.,Minister of Transport,"Minister of Transport; Minister of Intergovernmental Affairs, Infrastructure and Communities; Minister of Innovation, Science and Industry; Minister of International Trade, Export Promotion, Small Business and Economic Development"
3501,"Reduce wait times and ensure Veterans and their families receive decisions on applications in a timely manner, including by investing resources to hire case workers and adjudicators, enhance disability benefit processing and advance innovative digital solutions.",Minister of Veterans Affairs and Associate Minister of National Defence,Minister of Veterans Affairs and Associate Minister of National Defence
3503,"Ensure the benefit system and services are responsive to and meet the needs of underrepresented Veterans, including women, LGBTQ2, racialized and Indigenous Veterans. This will include the use of disaggregated research and data to provide tailored programs and services.",Minister of Veterans Affairs and Associate Minister of National Defence,Minister of Veterans Affairs and Associate Minister of National Defence
3504,"Reduce barriers to accessing services for Indigenous Veterans, including improving outreach to Indigenous communities and expanding the offering of culturally appropriate services.",Minister of Veterans Affairs and Associate Minister of National Defence,"Minister of Veterans Affairs and Associate Minister of National Defence; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario Canada; Minister of Crown-Indigenous Relations; Minister of Northern Affairs, Minister responsible for Prairies Economic Development Canada, and Minister responsible for the Canadian Northern Economic Development Agency"
3505,Launch a National Veterans Employment Strategy.,Minister of Veterans Affairs and Associate Minister of National Defence,"Minister of Veterans Affairs and Associate Minister of National Defence; Minister of National Defence; Minister of Employment, Workforce Development and Disability Inclusion"
3506,"Simplify processes, improve service delivery and strengthen transition services by enhancing shared online tools, increasing data sharing and improving transition support for Veterans.",Minister of Veterans Affairs and Associate Minister of National Defence,Minister of Veterans Affairs and Associate Minister of National Defence; Minister of National Defence
3507,"Ensure CAF members and Veterans have access to adequate, tailored mental health resources, services and training programs.",Minister of Veterans Affairs and Associate Minister of National Defence,Minister of Veterans Affairs and Associate Minister of National Defence; Minister of Mental Health and Addictions and Associate Minister of Health
3508,"Ensure that modern Veterans, as well as women, Indigenous, racialized and LGBTQ2 Veterans from all conflicts are recognized and commemorated, and that the valuable contributions of Canadian Armed Forces Veterans who have served in domestic operations are recognized.",Minister of Veterans Affairs and Associate Minister of National Defence,Minister of Veterans Affairs and Associate Minister of National Defence; Minister of Canadian Heritage and Quebec Lieutenant; Minister of Public Services and Procurement; Minister of National Defence
3601,"Promote short- and long-term job creation and economic development in southern Ontario, through a place-based approach and support accessible to all regions, in particular rural and small communities.",Minister responsible for the Federal Economic Development Agency for Southern Ontario,Minister responsible for the Federal Economic Development Agency for Southern Ontario
3602,"Drive economic growth, innovation and community diversification, with a focus on scaling up businesses, building innovation ecosystems and supporting community development.",Minister responsible for the Federal Economic Development Agency for Southern Ontario,Minister responsible for the Federal Economic Development Agency for Southern Ontario
3603,"Support diverse and inclusive economic growth, including by increasing the participation of traditionally under-represented groups in the Southern Ontario economy.",Minister responsible for the Federal Economic Development Agency for Southern Ontario,Minister responsible for the Federal Economic Development Agency for Southern Ontario
3604,"Support clean economic growth by prioritizing projects that demonstrate clean growth outcomes, and promote the development and adoption of clean technologies, green clusters and job growth, including zero-emissions vehicles and circular economy initiatives.",Minister responsible for the Federal Economic Development Agency for Southern Ontario,Minister responsible for the Federal Economic Development Agency for Southern Ontario
3605,"Ensure the continued strength of the Agency, and continue to prioritize the delivery of support to small and medium-sized businesses and support job creation in communities recovering from the COVID-19 pandemic.",Minister responsible for the Federal Economic Development Agency for Southern Ontario,Minister responsible for the Federal Economic Development Agency for Southern Ontario
3701,Support the PM and Cabinet through acute phases of rapid emergency responses.,President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness,"President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of Public Safety; Minister of National Defence; Minister of Transport; Minister of Natural Resources; Minister of Innovation, Science and Industry; Minister of Agriculture and Agri-Food; Minister of Health; Minister of Environment and Climate Change; Minister of Employment, Workforce Development and Disability Inclusion; Minister of Foreign Affairs; Minister of Public Services and Procurement"
3702,Provide regular updates to the PM and Cabinet on Canada’s preparedness and response across all hazards.,President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness,"President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of National Defence; Minister of Natural Resources; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Environment and Climate Change; Minister of Health; Minister of Innovation, Science and Industry; Minister of Fisheries, Oceans and the Canadian Coast Guard; Minister of Agriculture and Agri-Food; Minister of Employment, Workforce Development and Disability Inclusion; Minister of Public Services and Procurement"
3703,Enhance the management of strategic stockpiles to bolster national resilience and readiness for future pandemics and other emergencies.,President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness,"President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of Innovation, Science and Industry; Minister of Public Services and Procurement"
3704,Improve the operation of health surveillance systems to bolster national resilience and readiness for future pandemics and other emergencies.,Minister of Health,"Minister of Health; Minister of Innovation, Science and Industry; President of the Queen's Privy Council and Minister of Emergency Preparedness"
3705,Modernize how services and benefits are delivered to Canadians in times of crisis to bolster national resilience and readiness for future pandemics and other emergencies.,President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness,"President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of Public Services and Procurement; President of the Treasury Board; Minister of Seniors; Minister of Employment, Workforce Development and Disability Inclusion"
3706,"Strengthen governance, coordination and integration across all hazards.",President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness,"President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Crown-Indigenous Relations; Minister of Northern Affairs, Minister responsible for Prairies Economic Development Canada, and Minister responsible for the Canadian Northern Economic Development Agency"
3707,"Engage with provinces, territories and Indigenous partners to implement the Federal-Provincial-Territorial Action Plan for emergency management and advance initiatives to enhance Canada’s resilience.",President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness,"President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Crown-Indigenous Relations; Minister of Natural Resources; Minister of Environment and Climate Change; Minister of Innovation, Science and Industry"
3710,Renew the Federal Emergency Response Plan.,President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness,President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness
3711,Develop a national risk profile to inform decision-making and planning.,President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness,"President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of Natural Resources; Minister of Environment and Climate Change; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Crown-Indigenous Relations; Minister of Intergovernmental Affairs, Infrastructure and Communities; Minister of Health"
3712,Conduct a review of the roles and responsibilities of federal emergency operations centres.,President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness,"President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of Public Safety; Minister of National Defence; Minister of Environment and Climate Change; Minister of Natural Resources; Minister of Fisheries, Oceans and the Canadian Coast Guard; Minister of Health; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Transport"
3713,"Assess emergency management capabilities and identify priorities to enhance mitigation, preparedness and response efforts.",President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness,President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Natural Resources; Minister of Environment and Climate Change; Minister of Health
3714,"Assess the response to Requests for Federal Assistance from provinces and territories, including assistance from the Canadian Armed Forces.",President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness,"President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of Public Safety; Minister of National Defence; Minister of Fisheries, Oceans and the Canadian Coast Guard; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Health; Minister of Transport"
3715,Undertake a comprehensive review of the Disaster Financial Assistance Arrangements Program.,President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness,President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; President of the Treasury Board
3716,Expand the office of the national security and intelligence advisor.,President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness,President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of Natural Resources; Minister of Health
3717,Improve emergency management and enhance federal readiness through the coordination of comprehensive whole-of-government all hazards exercises.,President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness,"President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of National Defence; Minister of Natural Resources; Minister of Transport; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Environment and Climate Change; Minister of Innovation, Science and Industry; Minister of Health; Minister of Fisheries, Oceans and the Canadian Coast Guard; Minister of Agriculture and Agri-Food; Minister of Employment, Workforce Development and Disability Inclusion; Minister of Public Services and Procurement; President of the Treasury Board"
3718,Establish an international centre of excellence focused on firefighter training and coordination and wildfire management and engage with the Canadian Interagency Forest Fire Centre.,Minister of Natural Resources,President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of Natural Resources; Minister of Environment and Climate Change; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario
3720,Develop a whole-of-government planning and preparedness strategy to ensure the Government of Canada is fully prepared to protect lives and livelihoods from the catastrophic impacts of climate change.,President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness,"President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Crown-Indigenous Relations; Minister of Environment and Climate Change; Minister of Health; Minister of National Defence; Minister of Intergovernmental Affairs, Infrastructure and Communities; Minister of Natural Resources"
3722,Work to further incorporate the use of science across all elements of emergency preparedness.,President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness,"President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of Innovation, Science and Industry; Minister of Natural Resources; Minister of Environment and Climate Change; Minister of Intergovernmental Affairs, Infrastructure and Communities; Minister of Health; Minister of Agriculture and Agri-Food; Minister of Public Safety"
3725,"Create a low-cost national flood insurance program to protect homeowners who are at high risk of flooding and do not have adequate insurance protection; and, develop strategies to lower insurance premiums and identify cost-effective ways to protect communities and homes from climate impacts.",President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness,"President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of Housing and Diversity and Inclusion; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Crown-Indigenous Relations; Minister of Intergovernmental Affairs, Infrastructure and Communities; Deputy Prime Minister and Minister of Finance"
3727,"Through the joint Committee of British Columbia and Government of Canada ministers on disaster response and climate resilience, ensure effective coordination on disaster response and climate resilience, including with Indigenous communities.",President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness,"President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of Natural Resources; Minister of Environment and Climate Change; Minister of Intergovernmental Affairs, Infrastructure and Communities; Minister of Agriculture and Agri-Food; Minister of Transport; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Employment, Workforce Development and Disability Inclusion; Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada; Minister of Fisheries, Oceans and the Canadian Coast Guard"
3728,Ensure lessons learned from the recent climate-related floods and fires are translated into effective policy action.,President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness,"President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Crown-Indigenous Relations; Minister of Environment and Climate Change; Minister of Natural Resources; Minister of Intergovernmental Affairs, Infrastructure and Communities"
3801,Ensure vaccination across the Public Service.,President of the Treasury Board,President of the Treasury Board; Minister of Health
3802,Ensure vaccination is enforced for workers at Crown corporations and separate agencies.,President of the Treasury Board,President of the Treasury Board
3803,"Ensure that Public Service workplaces are free from sexual harassment and violence, as well as racism and all forms of hate.",President of the Treasury Board,"President of the Treasury Board; Minister of Employment, Workforce Development and Disability Inclusion"
3805,"Refine and strengthen the quality of life framework to ensure long-term outcomes that benefit people, and that progress toward those aims is rigorously reported.",President of the Treasury Board,President of the Treasury Board
3809,Bargain in good faith with Canada’s public sector unions.,President of the Treasury Board,President of the Treasury Board; Deputy Prime Minister and Minister of Finance; Minister of Public Safety
3811,"Support departments in implementing the plans outlined in their responses to the Call to Action on Anti-Racism, Equity and Inclusion in the Public Service.",President of the Treasury Board,President of the Treasury Board; President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness
