ID,Commitment,Reporting Lead,Reporting Lead Name,All ministers
LPC-318,"Futureproof the workforce by ensuring federally funded training programs better align with labour market needs, which means meeting the needs of employers today, and the employers of tomorrow. Track labour market impacts of AI to rapidly adjust training programs, so workers are continually ready for the jobs of the future.","Minister of Jobs and Families","Patty Hajdu","Minister of Artificial Intelligence and Digital Innovation; Secretary of State (Labour)"
LPC-319,"Open a $25 billion export credit facility to support Canadian businesses as they expand into new markets.","Minister of International Trade","Maninder Sidhu","Minister of Finance"
LPC-320,"Help Canadian businesses diversify their markets by expanding the CanExport program and pivoting it to focus on diversifying from the United States and fully take advantage of our existing trade deals, such as CETA and CPTPP.","Minister of International Trade","Maninder Sidhu",""
LPC-321,"Pursue new trade deals with MERCOSUR and ASEAN so that Canadian businesses can access markets worth $9 trillion combined.","Minister of International Trade","Maninder Sidhu",""
LPC-322,"Modernize Canada's Special Import Measures Act to respond to the new international trade reality, particularly to update Canada's trade remedy tools in situations of circumvention or diversion, including legislating express timelines for safeguard actions.","Minister of International Trade","Maninder Sidhu","Minister of Finance; Minister of Justice and Attorney General of Canada"
LPC-323,"Build trade enabling infrastructure to diversify our trade away from the United States, create new jobs, and build one Canadian economy.","Minister of Transport and Internal Trade","Chrystia Freeland","Minister of Housing and Infrastructure; Minister of International Trade; President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy"
LPC-324,"Spend less, so Canada can invest more. Build a new Canadian economy through investments that will create great jobs, higher incomes, and drive the productivity we need to pay for a stronger health care system and social services.","Minister of Finance","François-Philippe Champagne","President of the Treasury Board"
LPC-325,"Balance the operating budget by Budget 2028, ensuring responsible fiscal management while making wise, long-term investments to build for Canada's prosperity and future.","Minister of Finance","François-Philippe Champagne","President of the Treasury Board"
LPC-326,"Ensure the federal government's capital investment dollars catalyze multiple times their value in private investment.","Minister of Finance","François-Philippe Champagne","President of the Treasury Board"
LPC-327,"Ensure that government debt-to-GDP declines over the budget horizon.","Minister of Finance","François-Philippe Champagne",""
LPC-328,"Protect transfers to individuals (e.g. pensions, EI, CCB payments, etc.) and to provinces and territories (e.g. Equalization, Canadian Health Transfer, Canada Social Transfer, and Territorial Formula Financing).","Minister of Finance","François-Philippe Champagne","Minister of Jobs and Families; President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy"
LPC-329,"Protect social programs including $10-a-day child care, dental care, and pharmacare.","Minister of Finance","François-Philippe Champagne","Minister of Jobs and Families; Minister of Health"
LPC-330,"Conduct an expert review of the corporate tax system based on the principles of fairness, transparency, simplicity, sustainability, and competitiveness.","Minister of Finance","François-Philippe Champagne","Secretary of State (Canada Revenue Agency and Financial Institutions)"
LPC-331,"Lead an international effort with partners in Europe and across the G7 to get a fair and consistent set of international tax rules completed, as proposed by the Organization for Economic Cooperation and Development (OECD).","Minister of Finance","François-Philippe Champagne","Minister of Foreign Affairs"
LPC-332,"Leverage technology at the Canada Revenue Agency to better identify and prosecute instances of tax evasion, fix loopholes, and strengthen enforcement.","Secretary of State (Canada Revenue Agency and Financial Institutions)","Wayne Long","Minister of Finance; Minister of Justice and Attorney General of Canada; Minister of Artificial Intelligence and Digital Innovation"
LPC-333,"Separate capital and operating spending within the government, and back this with a change in legislation that will be supported by new powers and resources for the Parliamentary Budget Office.","President of the Treasury Board","Shafqat Ali","Minister of Finance; Leader of the Government in the House of Commons"
LPC-334,"Launch a comprehensive review of government spending in order to increase the federal government's productivity. This review will focus on clear targets by departments and Crown Corporations with an iterative process that deploys best approaches across the public sector.","President of the Treasury Board","Shafqat Ali","Minister of Government Transformation, Public Works and Procurement"
LPC-335,"Amalgamating service delivery so there is one point of access for Canadians in how they interact with government programs, that meets the customer service standards we have come to expect in a digital enabled economy.","Minister of Government Transformation, Public Works and Procurement","Joël Lightbound","President of the Treasury Board"
LPC-336,"Consolidating grants and contributions that serve similar purposes and are delivered to the same organizations across multiple departments, increasing impact.","President of the Treasury Board","Shafqat Ali",""
LPC-337,"Better leveraging technology to improve the automation of routine tasks and inquiries from the public and reducing the need for additional hiring.","President of the Treasury Board","Shafqat Ali","Minister of Artificial Intelligence and Digital Innovation"
LPC-338,"Significantly reducing reliance on external consultants, while improving the capacity of the public service to hire expertise in-house.","President of the Treasury Board","Shafqat Ali","Minister of Government Transformation, Public Works and Procurement"
LPC-339,"Better managing litigation and contingent liabilities and improving asset management practices.","President of the Treasury Board","Shafqat Ali","Minister of Justice and Attorney General of Canada; Minister of Government Transformation, Public Works and Procurement"
LPC-340,"Institute a permanent process to link spending and outcomes across departments and continuous improvement in spending control. Focus performance on a smaller and clearer set of things that matter to real people, such as the number of homes built and how long it takes to get an EI cheque.","President of the Treasury Board","Shafqat Ali",""
LPC-341,"Consider where AI can be leveraged to enhance productivity in government. Look at every new dollar being spent through the lens of how AI and technology can improve service and reduce costs.","President of the Treasury Board","Shafqat Ali","Minister of Artificial Intelligence and Digital Innovation"
LPC-342,"Capping, not cutting, public service employment. Ensure that the size of the federal public service meets the needs of Canadians.","President of the Treasury Board","Shafqat Ali",""
LPC-343,"Modernize our defence procurement to ensure our Forces can buy the tools and equipment they need, in a timely way, working with trusted partners.","Secretary of State (Defence Procurement)","Stephen Fuhr","Minister of National Defence; Minister of Government Transformation, Public Works and Procurement"
LPC-344,"Cancellation of the increase in capital gains inclusion rate (announced in March).","Minister of Finance","François-Philippe Champagne",""
LPC-345,"Rapidly ramp up the portion of spending dedicated to new equipment and infrastructure such that by Year 4 half of this new investment is used to buy new kit for our men and women in uniform.","Minister of National Defence","David J. McGuinty","Secretary of State (Defence Procurement); Minister of Finance; President of the Treasury Board; Minister of Government Transformation, Public Works and Procurement"
LPC-346,"Support and champion all Canadians, including by reviewing policies and programs using an intersectional lens.","Minister of Women and Gender Equality","Rechie Valdez","President of the Treasury Board; Minister of Justice and Attorney General of Canada; All other Ministers"
LPC-347,"Continue to update the GBA+ tool to ensure it reflects the identities and values of all Canadians, including diversity as a core value.","Minister of Women and Gender Equality","Rechie Valdez","President of the Treasury Board"
LPC-348,"Ensure that every measure in this platform will be implemented with a full GBA+ analysis – so that we can continue to build Canada strong, for all Canadians.","President of the Treasury Board","Shafqat Ali","Minister of Women and Gender Equality; All other Ministers"
