commitment_id,canonical_commitment_text,appears_in,reporting_lead_title,all_other_ministers_involved,notes_and_differences
LPC-281,"Enable opportunities for big polluters to support consumers in lowering their carbon footprint. Work with provinces and territories to seek ways for large emitters to support consumer adoption of green technologies and retrofits, such as heat pumps and electric vehicles, which also help lower household energy bills.",Platform Only,Minister of Environment and Climate Change,"Minister of Energy and Natural Resources; President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy",Platform-specific commitment.
LPC-282,Promote fair competition with our trading partners by developing a Carbon Border Adjustment Mechanism.,Platform Only,Minister of Finance,Minister of Environment and Climate Change; Minister of International Trade; Minister of Industry,Platform-specific commitment.
LPC-283,"Support carbon contracts for difference to derisk investments in the clean economy and further foster Canada's clean industrial competitive advantage. Also work with industry to make sure that emissions decline to achieve our climate goals, including through enhanced final oil and gas methane regulations that support innovation in Canadian technology.",Platform Only,Minister of Finance,Minister of Environment and Climate Change; Minister of Energy and Natural Resources; Minister of Industry,Platform-specific commitment.
LPC-284,"Become a world leader in carbon removal and sequestration by establishing Canada as a world leading hub for carbon removal and sequestration technology. Ensure that the full value of the Carbon Capture Utilization and Storage Investment Tax Credit (CCUS ITC) is extended to 2035, support a broad range of technologies and innovation in carbon removal, accelerate offset protocol development across a range of carbon removal technologies, and establish a separate carbon removal target for Canada for 2035 and 2040.",Platform Only,Minister of Environment and Climate Change,Minister of Energy and Natural Resources; Minister of Finance,Platform-specific commitment.
LPC-285,Establish broad coverage of climate risk disclosure for companies across Canada.,Platform Only,Minister of Finance,Minister of Environment and Climate Change,Platform-specific commitment.
LPC-286,Speed up the approval of clean energy projects while upholding environmental rigour and Indigenous rights.,Platform Only,President of the Treasury Board,Minister of Environment and Climate Change; Minister of Energy and Natural Resources; Minister of Crown-Indigenous Relations,Platform-specific commitment.
LPC-287,Cancel the proposed hike in the capital gains inclusion rate.,Platform Only,Minister of Finance,nan,Platform-specific commitment. Related to LPC-344.
LPC-288,"Reduce the cost of investment for Canadian companies and make sure they are internationally competitive by extending immediate expensing for manufacturing or processing machinery and equipment, clean energy generation, energy conservation equipment, and zero-emission vehicles, as well as the Accelerated Investment Incentive.",Both,Minister of Finance,Minister of Industry,Matches SFT_054 (general commitment to take measures to catalyse new investment to create better jobs and higher incomes). Platform specifies extending immediate expensing and AAI as a key measure.
LPC-289,"Drive increased private sector investment in research and development by increasing, to $6 million, the claimable amount under the Scientific Research and Experimental Development Tax Incentive Program (SR&ED) for Canadian companies, along with other reforms, to drive economic growth for small- and medium-sized businesses.",Platform Only,Minister of Finance,Minister of Industry,Platform-specific commitment.
LPC-290,Invest in our homegrown startups by recapitalizing the Venture Capital Catalyst Initiative (VCCI) by $1 billion. This will include a defence-specific stream to catalyze our early-stage defence companies.,Platform Only,Minister of Finance,Minister of Industry; Minister of National Defence,Platform-specific commitment.
LPC-291,"Incentivize investment in innovation, especially in Canada's startups, to help them grow and scale by introducing flow-through shares to our Canadian startup ecosystem, supporting companies in AI, quantum computing, biotech, and advanced manufacturing to raise money faster.",Platform Only,Minister of Finance,Minister of Industry; Minister of Artificial Intelligence and Digital Innovation,Platform-specific commitment.
LPC-292,Bring IP back to Canada and attract talent by creating a Canada Patent Box that will reward builders who locate or stay in Canada.,Platform Only,Minister of Industry,Minister of Finance,Platform-specific commitment.
LPC-293,Make the Black Entrepreneurship Program permanent and provide ongoing funding to support Black-owned businesses.,Platform Only,Minister of Industry,Minister of Finance; Secretary of State (Small Business and Tourism),Platform-specific commitment.
LPC-294,"Secure the Canadian advantage in strategic industries like biomanufacturing, quantum computing, and ag-tech.",Platform Only,Minister of Industry,Minister of Health; Minister of Artificial Intelligence and Digital Innovation; Minister of Agriculture and Agri-Food,Platform-specific commitment.
LPC-295,Invest in the Women's Economic and Leadership Opportunities Fund.,Platform Only,Minister of Women and Gender Equality,Minister of Finance,Platform-specific commitment. Related to LPC-197.
LPC-296,Build AI infrastructure by: Investing in nation-building energy infrastructure and cutting red tape to make Canada the best place in the world to build data centres.,Platform Only,Minister of Artificial Intelligence and Digital Innovation,Minister of Energy and Natural Resources; Minister of Housing and Infrastructure; President of the Treasury Board,Platform-specific commitment.
LPC-297,Build AI infrastructure by: Building the next generation of data centres quickly and efficiently by leveraging federal funding and partnering with the private sector to secure Canada's technological advantage.,Platform Only,Minister of Artificial Intelligence and Digital Innovation,Minister of Finance,Platform-specific commitment.
LPC-298,"Invest in AI training, adoption, and commercialization by: Measuring growth by tracking the economic impacts of AI in real-time \u2013 not just occasionally - so we can proactively help Canadians seize new opportunities, boost productivity, and ensure no one is left behind.",Platform Only,Minister of Artificial Intelligence and Digital Innovation,Minister of Industry,Platform-specific commitment.
LPC-299,"Invest in AI training, adoption, and commercialization by: Boosting adoption with a new AI deployment tax credit for small and medium-sized businesses that incentivizes businesses to leverage AI to boost their bottom lines, create jobs, and support existing employees.",Platform Only,Minister of Finance,Minister of Artificial Intelligence and Digital Innovation; Minister of Industry; Secretary of State (Small Business and Tourism),Platform-specific commitment.
LPC-300,"Invest in AI training, adoption, and commercialization by: Catalyzing commercialization by expanding successful programs at Canada's AI institutes (Mila, Vector, Amii) so that we can connect more Canadian researchers and startups with businesses across the country, which will supercharge adoption of Canadian innovation in businesses, create jobs, and strengthen our AI ecosystem.",Platform Only,Minister of Artificial Intelligence and Digital Innovation,Minister of Industry,Platform-specific commitment.
LPC-301,"Improve AI procurement by: Establishing a dedicated Office of Digital Transformation at the centre of government to proactively identify, implement, and scale technology solutions and eliminate duplicative and redundant red tape.",Platform Only,"Minister of Government Transformation, Public Works and Procurement",Minister of Artificial Intelligence and Digital Innovation; President of the Treasury Board,Platform-specific commitment.
LPC-302,"Improve AI procurement by: Enabling the Office of Digital Transformation to centralize innovative procurement and take a whole-of-government approach to service delivery improvement. This could mean using AI to address government service backlogs and improve service delivery times, so that Canadians get better services, faster.",Platform Only,"Minister of Government Transformation, Public Works and Procurement",Minister of Artificial Intelligence and Digital Innovation; President of the Treasury Board,Platform-specific commitment.
LPC-303,Attract leading researchers to Canadian institutions by creating the Canadian Sovereignty and Resilience Research Fund.,Platform Only,Minister of Industry,Minister of Finance; Minister of Foreign Affairs,Platform-specific commitment.
LPC-304,"Finalize Canada's modernization of science and research, through the creation of a capstone organization that will ensure the federal granting agencies are driving mission-driven research that brings Canadian expertise to big global challenges and effectively commercializes homegrown ideas.",Platform Only,Minister of Industry,nan,Platform-specific commitment.
LPC-305,"Enable the fuller inclusion of people with disabilities in academic, social, and professional life by requiring Canadian publishers to provide an accessible copy of all e-books produced or released in Canada by 2030.",Platform Only,Minister of Canadian Identity and Culture,Minister of Jobs and Families,Platform-specific commitment.
LPC-306,Continue to support workers affected by President Trump's unjust trade war through the revenues from counter tariffs by: Temporarily waiving the one-week EI waiting period.,Platform Only,Minister of Jobs and Families,Minister of Finance,Platform-specific commitment.
LPC-307,"Continue to support workers affected by President Trump's unjust trade war through the revenues from counter tariffs by: Suspending rules around separation for a six-month period, so workers don't have to wait to get EI until they have exhausted their severance pay.",Platform Only,Minister of Jobs and Families,nan,Platform-specific commitment.
LPC-308,Continue to support workers affected by President Trump's unjust trade war through the revenues from counter tariffs by: Making it easier to access EI through increasing regional unemployment rate percentages.,Platform Only,Minister of Jobs and Families,nan,Platform-specific commitment.
LPC-309,"Strengthen our social safety net and ensure no one is left behind. As a priority over the next year, work to enhance the Employment Insurance system to better reflect the modern workforce with flexible, reliable support.",Platform Only,Minister of Jobs and Families,Secretary of State (Labour),Platform-specific commitment.
LPC-310,"Provide a new Apprenticeship Grant of up to $8,000 for registered apprentices. Should an apprentice not complete their program within established timelines, the grant converts to an interest-free loan. This is in addition to the $20,000 interest-free Canada Apprentice Loans available to apprentices progressing through training. Work with First Nation, Inuit, and M\u00e9tis communities to raise awareness of the new grant. And make certain expenses eligible that make it easier and more affordable for women to apprentice in the trades.",Platform Only,Minister of Jobs and Families,Minister of Finance; Secretary of State (Labour); Minister of Indigenous Services; Minister of Women and Gender Equality,Platform-specific commitment. Related to LPC-184.
LPC-311,"Increase access to union-led training initiatives by permanently doubling the funding of the Union Training and Innovation Program from $25 million to $50 million. This funding will now support investments in training spaces and classrooms, supporting any of the Red Seal trades.",Platform Only,Minister of Jobs and Families,Minister of Finance; Secretary of State (Labour),Platform-specific commitment.
LPC-312,"Establish a new $20 million capital funding stream for colleges to support new training spaces, such as classrooms, for apprenticeships. Also work with provinces and territories to increase operating funding for trade colleges, building on the successes of jurisdictions like Quebec, which has been a leader in funding apprenticeship and vocational training, as well as strategic workplace apprenticeships.",Platform Only,Minister of Jobs and Families,"Minister of Finance; Secretary of State (Labour); President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy",Platform-specific commitment.
LPC-313,"Uphold the Apprenticeship Service program to support employers in hiring new apprentices in Red Seal trades, with $5,000 for first-year apprentices and $10,000 for women, people with disabilities, and other underrepresented groups.",Platform Only,Minister of Jobs and Families,Secretary of State (Labour); Minister of Women and Gender Equality,Platform-specific commitment.
LPC-314,"Increase labour mobility for skilled trades people between provinces and territories to address labour shortages. By increasing internal trade, build one Canadian economy \u2013 instead of thirteen \u2013 where qualified workers can work anywhere in Canada.",Platform Only,Minister of Jobs and Families,"President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Secretary of State (Labour)",Platform-specific commitment.
LPC-315,Expand the Labour Mobility Tax Deduction to ensure workers who travel more than 120 km from their home to a job site can deduct their expenses. Also committed to significantly increasing the per-year tax deduction limit upon consultation with key industries.,Platform Only,Minister of Finance,Minister of Jobs and Families; Secretary of State (Labour),Platform-specific commitment.
LPC-316,"Launch a new training and upskilling benefit worth up to $15,000 for workers in the middle of their careers. This benefit will be targetted to workers in priority sectors including manufacturing, health care, construction, AI, and technology.",Platform Only,Minister of Jobs and Families,Minister of Finance; Minister of Industry; Minister of Health; Minister of Housing and Infrastructure; Minister of Artificial Intelligence and Digital Innovation,Platform-specific commitment.
LPC-317,"Ensure that Canadian workers impacted by tariffs have the necessary tools to pursue good paying jobs and advance their careers in priority sectors. Design these supports in partnership with labour, employers, and industry.",Platform Only,Minister of Jobs and Families,Secretary of State (Labour); Minister of Industry,Platform-specific commitment.
LPC-318,"Futureproof the workforce by ensuring federally funded training programs better align with labour market needs, which means meeting the needs of employers today, and the employers of tomorrow. Track labour market impacts of AI to rapidly adjust training programs, so workers are continually ready for the jobs of the future.",Platform Only,Minister of Jobs and Families,Minister of Artificial Intelligence and Digital Innovation; Secretary of State (Labour),Platform-specific commitment.
LPC-319,Open a $25 billion export credit facility to support Canadian businesses as they expand into new markets.,Platform Only,Minister of International Trade,Minister of Finance,Platform-specific commitment.
LPC-320,"Help Canadian businesses diversify their markets by expanding the CanExport program and pivoting it to focus on diversifying from the United States and fully take advantage of our existing trade deals, such as CETA and CPTPP.",Platform Only,Minister of International Trade,nan,Platform-specific commitment.
LPC-321,Pursue new trade deals with MERCOSUR and ASEAN so that Canadian businesses can access markets worth $9 trillion combined.,Platform Only,Minister of International Trade,nan,Platform-specific commitment.
LPC-322,"Modernize Canada's Special Import Measures Act to respond to the new international trade reality, particularly to update Canada's trade remedy tools in situations of circumvention or diversion, including legislating express timelines for safeguard actions.",Platform Only,Minister of International Trade,Minister of Finance; Minister of Justice and Attorney General of Canada,Platform-specific commitment.
LPC-323,"Build trade enabling infrastructure to diversify our trade away from the United States, create new jobs, and build one Canadian economy.",Platform Only,Minister of Transport and Internal Trade,"Minister of Housing and Infrastructure; Minister of International Trade; President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy",Platform-specific commitment.
LPC-324,"Spend less, so Canada can invest more. Build a new Canadian economy through investments that will create great jobs, higher incomes, and drive the productivity we need to pay for a stronger health care system and social services.",Both,Minister of Finance,President of the Treasury Board,"Matches SFT_046 (In all of its actions, the Government will be guided by a new fiscal discipline: spend less so Canadians can invest more). Platform links this principle to broader economic goals."
LPC-325,"Balance the operating budget by Budget 2028, ensuring responsible fiscal management while making wise, long-term investments to build for Canada's prosperity and future.",Both,Minister of Finance,President of the Treasury Board,Matches SFT_049 (The Government will balance its operating budget over the next three years). Platform specifies 'by Budget 2028' (implying a similar timeframe if election is 2025).
LPC-326,Ensure the federal government's capital investment dollars catalyze multiple times their value in private investment.,Platform Only,Minister of Finance,President of the Treasury Board,Platform-specific commitment.
LPC-327,Ensure that government debt-to-GDP declines over the budget horizon.,Platform Only,Minister of Finance,nan,Platform-specific commitment.
LPC-328,"Protect transfers to individuals (e.g. pensions, EI, CCB payments, etc.) and to provinces and territories (e.g. Equalization, Canadian Health Transfer, Canada Social Transfer, and Territorial Formula Financing).",Both,Minister of Finance,"Minister of Jobs and Families; President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy","Direct match with SFT_048 (Transfers to provinces, territories, or individuals will be maintained). Platform provides examples of such transfers."
LPC-329,"Protect social programs including $10-a-day child care, dental care, and pharmacare.",Platform Only,Minister of Finance,Minister of Jobs and Families; Minister of Health,Platform-specific commitment. SFT_006 covers child care and pharmacare; dental care is platform-specific here.
LPC-330,"Conduct an expert review of the corporate tax system based on the principles of fairness, transparency, simplicity, sustainability, and competitiveness.",Platform Only,Minister of Finance,Secretary of State (Canada Revenue Agency and Financial Institutions),Platform-specific commitment.
LPC-331,"Lead an international effort with partners in Europe and across the G7 to get a fair and consistent set of international tax rules completed, as proposed by the Organization for Economic Cooperation and Development (OECD).",Platform Only,Minister of Finance,Minister of Foreign Affairs,Platform-specific commitment.
LPC-332,"Leverage technology at the Canada Revenue Agency to better identify and prosecute instances of tax evasion, fix loopholes, and strengthen enforcement.",Platform Only,Secretary of State (Canada Revenue Agency and Financial Institutions),Minister of Finance; Minister of Justice and Attorney General of Canada; Minister of Artificial Intelligence and Digital Innovation,Platform-specific commitment.
LPC-333,"Separate capital and operating spending within the government, and back this with a change in legislation that will be supported by new powers and resources for the Parliamentary Budget Office.",Platform Only,President of the Treasury Board,Minister of Finance; Leader of the Government in the House of Commons,Platform-specific commitment.
LPC-334,Launch a comprehensive review of government spending in order to increase the federal government's productivity. This review will focus on clear targets by departments and Crown Corporations with an iterative process that deploys best approaches across the public sector.,Both,President of the Treasury Board,"Minister of Government Transformation, Public Works and Procurement",Matches SFT_050 (The Government will cut waste) and SFT_052 (The Government will end duplication). Platform details a comprehensive spending review as the method.
LPC-335,"Amalgamating service delivery so there is one point of access for Canadians in how they interact with government programs, that meets the customer service standards we have come to expect in a digital enabled economy.",Platform Only,"Minister of Government Transformation, Public Works and Procurement",President of the Treasury Board,Platform-specific commitment.
LPC-336,"Consolidating grants and contributions that serve similar purposes and are delivered to the same organizations across multiple departments, increasing impact.",Platform Only,President of the Treasury Board,nan,Platform-specific commitment.
LPC-337,Better leveraging technology to improve the automation of routine tasks and inquiries from the public and reducing the need for additional hiring.,Both,President of the Treasury Board,Minister of Artificial Intelligence and Digital Innovation,Matches SFT_053 (The Government will deploy technology to improve public sector productivity). Platform specifies automation of routine tasks and reducing hiring needs.
LPC-338,"Significantly reducing reliance on external consultants, while improving the capacity of the public service to hire expertise in-house.",Platform Only,President of the Treasury Board,"Minister of Government Transformation, Public Works and Procurement",Platform-specific commitment.
LPC-339,Better managing litigation and contingent liabilities and improving asset management practices.,Platform Only,President of the Treasury Board,"Minister of Justice and Attorney General of Canada; Minister of Government Transformation, Public Works and Procurement",Platform-specific commitment.
LPC-340,"Institute a permanent process to link spending and outcomes across departments and continuous improvement in spending control. Focus performance on a smaller and clearer set of things that matter to real people, such as the number of homes built and how long it takes to get an EI cheque.",Platform Only,President of the Treasury Board,nan,Platform-specific commitment.
LPC-341,Consider where AI can be leveraged to enhance productivity in government. Look at every new dollar being spent through the lens of how AI and technology can improve service and reduce costs.,Platform Only,President of the Treasury Board,Minister of Artificial Intelligence and Digital Innovation,"Platform-specific commitment, related to LPC-337 and SFT_053."
LPC-342,"Capping, not cutting, public service employment. Ensure that the size of the federal public service meets the needs of Canadians.",Both,President of the Treasury Board,nan,Matches SFT_051 (The Government will cap the public service). Platform adds the nuance of 'not cutting' and ensuring size meets needs.
LPC-343,"Modernize our defence procurement to ensure our Forces can buy the tools and equipment they need, in a timely way, working with trusted partners.",Platform Only,Secretary of State (Defence Procurement),"Minister of National Defence; Minister of Government Transformation, Public Works and Procurement",Platform-specific commitment. Related to LPC-057.
LPC-344,Cancellation of the increase in capital gains inclusion rate (announced in March).,Platform Only,Minister of Finance,nan,Platform-specific commitment. Related to LPC-287.
LPC-345,Rapidly ramp up the portion of spending dedicated to new equipment and infrastructure such that by Year 4 half of this new investment is used to buy new kit for our men and women in uniform.,Platform Only,Minister of National Defence,"Secretary of State (Defence Procurement); Minister of Finance; President of the Treasury Board; Minister of Government Transformation, Public Works and Procurement",Platform-specific defence spending detail.
LPC-346,"Support and champion all Canadians, including by reviewing policies and programs using an intersectional lens.",Platform Only,Minister of Women and Gender Equality,President of the Treasury Board; Minister of Justice and Attorney General of Canada; All other Ministers,Platform-specific commitment.
LPC-347,"Continue to update the GBA+ tool to ensure it reflects the identities and values of all Canadians, including diversity as a core value.",Platform Only,Minister of Women and Gender Equality,President of the Treasury Board,Platform-specific commitment.
LPC-348,"Ensure that every measure in this platform will be implemented with a full GBA+ analysis \u2013 so that we can continue to build Canada strong, for all Canadians.",Platform Only,President of the Treasury Board,Minister of Women and Gender Equality; All other Ministers,Platform-specific commitment.
SFT_ONLY_001,"The Government is determined to protect democracy, pluralism, the rule of law, self-determination, and freedom.",SFT Only,N/A,N/A,SFT-specific commitment. A high-level statement of values. Original SFT ID: SFT_001.
SFT_ONLY_026,"The Government will discharge its duty to protect Canadians and their sovereign rights, from wherever challenges may come at home or abroad.",SFT Only,N/A,N/A,SFT-specific commitment. A very general statement on protecting Canadians and sovereignty. Original SFT ID: SFT_026.
SFT_ONLY_032,It will take these steps while protecting the rights of law-abiding gun owners and Indigenous Peoples\u2019 longstanding hunting traditions.,SFT Only,N/A,N/A,"SFT-specific commitment. A qualifier on gun control measures, emphasizing protection of rights for law-abiding gun owners and Indigenous hunting traditions. Original SFT ID: SFT_032."
SFT_ONLY_047,The Government will introduce measures to bring it [day-to-day government spending growth] below two percent.,SFT Only,N/A,N/A,SFT-specific commitment. A specific fiscal target to bring day-to-day government spending growth below two percent. Original SFT ID: SFT_047.
